כןפ הילד הפנימי נחשבת טכניקה א שזה ו יש יש חצי זמן כן יש
0:1414 שניותאורגנים הרמה יש לנו כאילו הפרדה בין טכניקות
0:2323 שניותלכלים כן וש גם לא
0:3636 שניותא צי העו זמן
0:4040 שניות[מוזיקה]
1:231 דקה, 23 שניות‏k
1:391 דקה, 39 שניותהרי אתה מכיר את הטכניקה של מחולל התנהגות של מה של מחולל
1:451 דקה, 45 שניותהתנהגות ק איפה למדת רק
1:541 דקה, 54 שניותפה מה עוד היה לנו
2:05שתי דקות, 5 שניותאמית אתה מכיר מכולל התנהגות נכון כן את
2:16שתי דקות, 16 שניותהטכניקה דווקא היא טכניקה פשוטה ממש מאוד רוצה היום להסביר איך עושים אותה להדגים
2:25שתי דקות, 25 שניותיש לך במה א לא
2:33שתי דקות, 33 שניותחושב לא שזכור לי אבל היא טכניקה טכניקה
2:40שתי דקות, 40 שניותמעולה יאללה בואו אנחנו נתחיל בוא נראה אם יש עוד לליאל הפתחת את הסוו היום ישט אמית
2:49שתי דקות, 49 שניותיעשה מחולל התנהגות מי עושה מחולל התנהגות אמית אתה יודע לעשות אתה יודע שלא יהיה פדיחות וסתם חבל
2:58שתי דקות, 58 שניותעל הכסף ם עושים את זה קבוצתי כי אני בכן לא עשיתי קבוצתי זה נראה לי מגניב א מה שאמית
3:063 דקות, 6 שניותיחליט לא ידעתי שמכונות לא ות אפשר קבוצתי אבל תוכל להדגים כאן על
3:133 דקות, 13 שניותמישהו כל כל דבר זה למדנו זה למדנו זה למדנו היום אנחנו נעבור על הכל זה פרקטיש
3:213 דקות, 21 שניותרשמתי כאן דברים אז בגדול שיבוש אסטרטגיה זו טכניקה
3:293 דקות, 29 שניותשצריך לעב עליה מחולל התנהגות סוויש ועוד משה
3:373 דקות, 37 שניותו כון דיסני דיסני צריך לתת עליו מעבר ו ואפילו ציר זמן כן הייתי עושה גם חזרה
3:473 דקות, 47 שניותהיום על ציר זמן עם הכנסה לטראנס והכל
3:523 דקות, 52 שניותטוב מה קורה ב תרגלת סומים
4:014 דקות, 1 שניה[מחיאות כפיים]
4:024 דקות, שתי שניותלה כי מה שחשוב זה לא רק להמשיך בשיעורים זה לתרגל ב זה משהו שהשתמשת בו הרבה בקליניקה כאילו
4:114 דקות, 11 שניותבומ אחד הכלים שאני משתמש בו הכי הרבה גם בחיים עצמם זה סומים איך משתמשים בזה סצ
4:204 דקות, 20 שניותבקליניקה בפן שיחתי כשאתה נגיד שואל את הבן אדם למה הוא הגיע ואתה מתחיל לעשות לו
4:264 דקות, 26 שניותמטה מודל אז תוך כדי המטה מודל להתחיל לדבר איתו על הדברים האלה או אפילו גם תוך כדי
4:344 דקות, 34 שניותטכניקות נניח צה הי לעשות טכניקה למישהי של טינה ותוך כדי שהיא היייתה עם העיניים
4:414 דקות, 41 שניותהעצומות והכל אז אני דיברתי איתה ו ושתלתי שםם כמה סומים גם אם הוזיל היה
4:504 דקות, 50 שניותכאן כמה סומים קטנים יכול זוכר דוגמה אתה עושה את זה בצור מדע א חלק כן חלק
4:564 דקות, 56 שניותלא חלק אני ממש חושב על הסום וחלק אני בדוד ראיתי שהשום היה
5:045 דקות, 4 שניותאמ אני לא זוכר זה לא היה פה אבל א לא יודע אם זה היה עם מוזיל או עם מישהי אחרת שעשיתי לה בפרקט
5:135 דקות, 13 שניותשנר שגם היא עשתה משהו שקשור כן היא עשתה משהו שקשור למערכת יחסים עם אבא שלה ושם נתתי שם כמה סומים את המטפורה עם הנחש עוד
5:235 דקות, 23 שניותכל מיני מה שחשוב זה לא זה זה זה א ולאט לאט אתה רואה שזה מ חל כשזה עוד
5:305 דקות, 30 שניותצום ועוד צום ועוד צום ועוד צום ומה ומה יקרה אם תמשיכי להאמין בזה יש סומים שכאילו כולם משתמשים ב ביום יום אפילו בלי
5:395 דקות, 39 שניותלשים לב אבל זה כאילו לתר לשים לב אבל ברגע שאתה שים לב לזה זה עושה את כל ה בדיוק גם מטה מודל זה שאלות שהרבה פעמים
5:465 דקות, 46 שניותאנחנו יכולים לשאול באופן אינטואיטיבי אבל כשאני במודעות למטא מודל אז א זה זר לי בטירוף המטא מודל כאילו לקלוט דברים אצל
5:565 דקות, 56 שניותאנשים פתאום לי מטורף הכלים האלה של ה nlp זה פתאום כאילו כל מה שידעתי שזה מלא זה
6:056 דקות, 5 שניותפתאום כזה הכל טק כן זה מאוד ממקד א אז אז זה כלים מאוד מאוד טובים הציניות היא טובה
6:126 דקות, 12 שניותאני אוהב כאילו את הציניות בומים כן ושמעתי איזה משהו ממש טוב גם אני לא זוכר
6:216 דקות, 21 שניותמה משהו שאמרת עם הקנו חבר'ה שהלכו עם עם סירת קנו במדבר אתה מכיר את זה מה זה
6:306 דקות, 30 שניותעכשיו שמעתי של תחושת בטן של מתל חקי הוא הביא איזה מישהו אומר הוא רואים אנשים הולכים במדבר עם סירת קנו כאילו שלושה
6:396 דקות, 39 שניותארבעה אנשים ואז הוא שואל אותם מה למה אתם הולכים ואז הם אומרים הם באו מכפר הם באו מכפר רחוק רחוק רחוק כאילו
6:486 דקות, 48 שניותאלפי קילומטרים ששמה היה היה שיטפון והקנו הציל אותם מהשיטפון ומאז הם
6:576 דקות, 57 שניותמסתובבים כל הזמן עם הקנו הזה עכשיו אתם נמצאים במדבר ואתם עדיין מסתובבים עם הקנו
7:047 דקות, 4 שניותכאילו אתה כאילו עדיין ו הדימוי הוא לדברים שקרו לנו בעבר ואנחנו עדיין
7:117 דקות, 11 שניותמחזיקים דברים שאז הצילו אותנו ועכשיו הם בכלל סתם מעכבים אותם הם סתם גורמים לנו כאילו להיות
7:187 דקות, 18 שניותא ליעץ אותנו קיצ סתם אהבתי אחלה אחלה מ ממש מגניב סליחה מה שלא הזמנתי איך סליחה
7:267 דקות, 26 שניותזה לא מה שהזמנתי יכול זה אח זה על בשן כן כן הנה עוד אחד שמקשיב ל התודעה
7:337 דקות, 33 שניותריאקטיבית יס אה נראה לי גם זה שלחתי בכן שלחת שלחתי מי שהקשיב באמת למה ששלחתי אני
7:427 דקות, 42 שניותכמה חודשים ל אוקיי יפה אהבתי תודה על זה אעם מה הייתם רוצים לצאת היום בואו נעשה
7:497 דקות, 49 שניותרגע את התיאום ציפיות כמו שצריך אעם מה הייתם רוצים לצאת יש לנו שש שעות שכולן מוקדשות לתרגולים יש דברים ספציפיים
7:567 דקות, 56 שניותשהייתם רוצים לצאת איתם מהיום שתי אחלים ב תרגול של אלה כלו תרגול של הצד השמאלי כן
8:038 דקות, 3 שניותאוקיי שאם נספיק לתרגל את כל הצד השמאלי בונז כן אוקיי
8:108 דקות, 10 שניות[מוזיקה]
8:138 דקות, 13 שניותאוקיי בלי חוקים ובלי מצוות הייתי אומר שאני מאחל תמיד אבל אני
8:218 דקות, 21 שניותלא רוצה לקבוע בזמן שלי בסדר אבל בזכותך לא שמנו לב שמסי מחר בזה
8:308 דקות, 30 שניותם אם מה הייתם רוצים לצאת עוד היום סוויש אנחנו הולכים לעשות היום גם זה למה זה בקו וגם
8:398 דקות, 39 שניותדיסני אוקי אני חושב שאם אנחנו נעבור על א ש וכל הצד
8:478 דקות, 47 שניותהזה נראה לי שבוז כן טוב בואו נתחיל בטכניקות שעדיין
8:558 דקות, 55 שניותלא יושבות עד הסוף חלק למדו חלק לא למדו יש לנו אחד סוויש יש לנו שתיים דיסני יש
9:049 דקות, 4 שניותלנו שיבוש אסטרטגיה ומכולה ל התנהגותם לא אוקיי אלה ארבע טכניקות שצריך עוד לחזור
9:119 דקות, 11 שניותעליהם כן חלק למדו את הטכניקות האלה איתי בפרקט שנר וחלק לא אבל את הסמלי לא למדנו
9:189 דקות, 18 שניותנכון בכלל מה בכלל שיבוש ומכולה אלה זה קצת נגענו אצלי בערב אבל לא לא לרמת
9:279 דקות, 27 שניותהטכניקה אוקיי לכן יש לנו היום שני חבר'ה שאני נותן להם את הבמה להעביר שתי טכניקות אז
9:369 דקות, 36 שניותנתחיל לדעתי מ סוויש יס נתחיל מוויש ואז אחר כך אמיט
9:439 דקות, 43 שניותיעשה מחולל התנהגות נעשה סוויש תרגול מכולל התנהגות תרגול דיסני אני האוויר ושיבוש אסטרטגי אני האוויר ואז נעבור על
9:529 דקות, 52 שניותכל הטכניקות האחרות יס אז רגע לפני שליאל מגיע אני אסביר רגע מה זו הטכניקה למה משתמשים בה ולמה היא כל
10:0110 דקות, 1 שניהכך כל כך כל כך כל כך טובה אני חושב שזה אחת הטכניקות היותר טובות שהשיטה יודעת
10:0710 דקות, 7 שניותלהציע מהסיבה גם שהיא מאוד מאוד פשוטה סוויש מהסיבה גם שהיא מאוד מאוד
10:1610 דקות, 16 שניותמאוד פשוטה טרנס סיר זמן
10:3010 דקות, 30 שניותחולל התנהגות וינה בעצם אז בואו נדבר על מה זו הטכניקה הזאת
10:3910 דקות, 39 שניותהטכניקה הזאת האמת שהיא באמת באמת כל כך טובה שהיא אפילו היא הוכחה מחקרית אוקיי
